grid_id,latitude,longitude,sat_no2_avg,sat_no2_count,sat_o3_avg,sat_o3_count,sat_aod_avg,sat_aod_count
GRID_10.1_-180.0,10.08400836100821,-179.969121935135,,,,,,
GRID_10.1_-178.0,10.08400836100821,-177.969121935135,,,,,,
GRID_10.1_-176.0,10.08400836100821,-175.969121935135,,,,,,
GRID_10.1_-174.0,10.08400836100821,-173.969121935135,,,,,,
GRID_10.1_-172.0,10.08400836100821,-171.969121935135,,,,,,
GRID_10.1_-170.0,10.08400836100821,-169.969121935135,,,,,,
GRID_10.1_-168.0,10.08400836100821,-167.969121935135,,,,,,
GRID_10.1_-166.0,10.08400836100821,-165.969121935135,,,,,,
GRID_10.1_-164.0,10.08400836100821,-163.969121935135,,,,,,
GRID_10.1_-162.0,10.08400836100821,-161.969121935135,,,,,,
GRID_10.1_-160.0,10.08400836100821,-159.969121935135,,,,,,
GRID_10.1_-158.0,10.08400836100821,-157.969121935135,,,,,,
GRID_10.1_-156.0,10.08400836100821,-155.969121935135,,,,,,
GRID_10.1_-154.0,10.08400836100821,-153.969121935135,,,,,,
GRID_10.1_-152.0,10.08400836100821,-151.969121935135,,,,,,
GRID_10.1_-150.0,10.08400836100821,-149.969121935135,,,,,,
GRID_10.1_-148.0,10.08400836100821,-147.969121935135,,,,,,
GRID_10.1_-146.0,10.08400836100821,-145.969121935135,,,,,,
GRID_10.1_-144.0,10.08400836100821,-143.969121935135,,,,,,
GRID_10.1_-142.0,10.08400836100821,-141.969121935135,,,,,,
GRID_10.1_-140.0,10.08400836100821,-139.969121935135,,,,,,
GRID_10.1_-138.0,10.08400836100821,-137.969121935135,,,,,,
GRID_10.1_-136.0,10.08400836100821,-135.969121935135,,,,,,
GRID_10.1_-134.0,10.08400836100821,-133.969121935135,,,,,,
GRID_10.1_-132.0,10.08400836100821,-131.969121935135,,,,,,
GRID_10.1_-130.0,10.08400836100821,-129.969121935135,,,,,,
GRID_10.1_-128.0,10.08400836100821,-127.96912193513501,,,,,,
GRID_10.1_-126.0,10.08400836100821,-125.96912193513501,,,,,,
GRID_10.1_-124.0,10.08400836100821,-123.96912193513501,,,,,,
