date,latitude,longitude,location_id,temperature,humidity,wind_speed,wind_direction,wind_u,wind_v,precipitation,solar_radiation,uv_index,source
2025-09-04,38.090508913552185,-56.4071401667109,LOC_000,11.7,74.1,0.53,323.5,0.31,-0.43,0.0,243.4,1.8,Sample Data
2025-09-04,64.89954563585539,-102.17439705438524,LOC_001,6.94,94.3,0.76,256.4,0.74,0.18,0.79,191.0,3.7,Sample Data
2025-09-04,21.70139803318274,-159.72071235629366,LOC_002,25.41,73.8,2.52,33.7,-1.4,-2.1,0.0,222.3,2.0,Sample Data
2025-09-04,14.35627091261496,-67.39710104925842,LOC_003,26.58,63.9,6.68,227.2,4.9,4.54,0.0,412.5,5.2,Sample Data
2025-09-04,55.08362588074066,-87.95056488651409,LOC_004,-0.43,79.8,3.85,101.1,-3.77,0.74,2.07,179.9,3.0,Sample Data
2025-09-04,11.543837072185184,-53.91171921894073,LOC_005,26.11,70.8,1.46,306.4,1.17,-0.87,0.37,313.8,4.0,Sample Data
2025-09-04,72.43319806003163,-152.3959156118241,LOC_006,1.08,100.0,0.31,221.4,0.2,0.23,0.0,127.8,0.5,Sample Data
2025-09-04,23.636872540532547,-156.1574137190536,LOC_007,24.11,69.1,3.58,252.9,3.42,1.05,0.0,309.1,3.3,Sample Data
2025-09-04,32.81816822196533,-111.78166388780907,LOC_008,19.25,68.5,7.33,184.1,0.52,7.32,0.0,275.3,4.6,Sample Data
2025-09-04,42.395876398158684,-142.14021177425457,LOC_009,17.71,75.6,6.62,121.7,-5.64,3.48,0.0,231.9,2.0,Sample Data
2025-09-04,55.88896710417846,-161.86579811523455,LOC_010,6.0,67.2,2.35,103.2,-2.29,0.53,0.0,159.9,3.1,Sample Data
2025-09-04,31.91084864014136,-132.37296037182008,LOC_011,18.51,49.0,4.41,77.7,-4.31,-0.94,0.0,368.1,6.4,Sample Data
2025-09-04,44.205248816277695,-77.92712501890823,LOC_012,18.86,77.3,11.17,185.9,1.14,11.11,3.17,196.5,0.8,Sample Data
2025-09-04,24.97553366187698,-113.1495230062305,LOC_013,17.79,90.7,0.57,56.3,-0.48,-0.32,1.59,308.9,5.1,Sample Data
2025-09-04,54.431092664653185,-173.9614463464003,LOC_014,8.81,97.7,2.84,151.1,-1.37,2.48,0.88,176.3,4.1,Sample Data
2025-09-04,55.56586389260788,-157.8318639206521,LOC_015,6.26,61.0,1.92,62.4,-1.7,-0.89,0.0,266.1,1.9,Sample Data
2025-09-04,14.878869473895964,-56.64488015706668,LOC_016,24.5,62.4,1.41,225.3,1.0,0.99,0.0,295.5,4.6,Sample Data
2025-09-04,82.42240248059196,-74.90834474486006,LOC_017,-8.08,87.4,2.64,338.5,0.97,-2.46,0.0,165.7,0.8,Sample Data
2025-09-04,32.8460326880028,-167.3026251791701,LOC_018,28.38,28.0,8.51,139.0,-5.59,6.43,0.0,222.3,3.0,Sample Data
2025-09-04,61.31747698841177,-122.78017581385183,LOC_019,7.91,66.7,0.07,293.2,0.06,-0.03,0.25,212.8,4.1,Sample Data
2025-09-04,19.15286761335841,-115.62700168553488,LOC_020,26.38,67.6,4.88,101.5,-4.78,0.98,2.78,180.9,1.0,Sample Data
2025-09-04,12.57913908364138,-61.78834772975833,LOC_021,24.51,77.8,8.01,309.0,6.22,-5.04,0.0,318.7,4.8,Sample Data
2025-09-04,29.408498620001268,-93.87210303398234,LOC_022,25.96,59.5,1.16,322.4,0.71,-0.92,0.0,240.1,2.4,Sample Data
2025-09-04,33.378330706705825,-112.39115724688459,LOC_023,27.01,74.4,1.79,105.6,-1.72,0.48,2.23,284.0,4.2,Sample Data
2025-09-04,51.00327095074597,-155.96892078168148,LOC_024,5.14,75.8,2.39,159.0,-0.86,2.23,0.0,157.7,1.6,Sample Data
2025-09-04,82.7188470823419,-79.23273296305511,LOC_025,-5.15,75.7,2.89,36.4,-1.71,-2.32,2.41,61.7,1.0,Sample Data
2025-09-04,80.46242061731418,-63.672444444405656,LOC_026,-13.33,69.6,5.03,341.0,1.64,-4.75,0.0,60.8,2.1,Sample Data
2025-09-04,54.84249841083138,-60.15634944699481,LOC_027,-3.47,100.0,7.1,40.0,-4.57,-5.44,0.0,185.9,2.0,Sample Data
2025-09-04,16.636937653893963,-154.5222278855111,LOC_028,27.44,45.6,4.11,210.0,2.06,3.56,0.0,201.1,1.7,Sample Data
2025-09-04,13.392046668290355,-137.70705700077565,LOC_029,25.73,66.3,9.91,4.4,-0.76,-9.88,0.0,287.9,3.6,Sample Data
2025-09-04,39.15079672671115,-144.72462586939355,LOC_030,15.05,56.4,10.45,188.3,1.51,10.34,0.0,210.4,4.5,Sample Data
2025-09-04,72.1553131863947,-133.6220675298334,LOC_031,4.07,100.0,6.94,16.4,-1.96,-6.66,6.01,120.4,2.5,Sample Data
2025-09-04,31.07008822655356,-109.4495091894277,LOC_032,11.34,82.7,0.63,166.9,-0.14,0.61,0.0,212.4,2.8,Sample Data
2025-09-04,20.569316873107198,-75.71439250197484,LOC_033,25.57,87.7,1.11,293.0,1.02,-0.43,0.0,305.5,5.3,Sample Data
2025-09-04,15.591298275982812,-51.70469824193276,LOC_034,29.85,54.1,6.03,16.3,-1.69,-5.79,0.94,289.3,2.5,Sample Data
2025-09-04,67.9183576972493,-154.1669614005576,LOC_035,1.89,77.2,5.54,301.8,4.71,-2.92,0.0,61.9,0.2,Sample Data
2025-09-04,10.41415878427018,-73.99001430087156,LOC_036,28.96,57.5,4.4,340.1,1.5,-4.13,0.0,263.5,1.7,Sample Data
2025-09-04,63.01430078857128,-85.22906815467165,LOC_037,-4.21,91.4,3.34,222.5,2.26,2.46,0.0,175.9,1.4,Sample Data
2025-09-04,67.84527600144594,-170.37419527456825,LOC_038,7.97,75.4,2.2,306.8,1.76,-1.32,0.0,193.2,2.6,Sample Data
2025-09-04,36.884929640820445,-164.93702226173315,LOC_039,10.6,67.5,0.09,271.8,0.09,-0.0,0.0,189.3,3.1,Sample Data
2025-09-04,74.73275694066952,-98.97124351241747,LOC_040,2.07,52.0,1.49,157.5,-0.57,1.38,0.0,126.2,0.0,Sample Data
2025-09-04,34.81735186394869,-171.73741446281693,LOC_041,14.3,88.6,2.92,310.5,2.22,-1.89,0.0,157.2,1.9,Sample Data
2025-09-04,33.32367412867467,-137.7261681365229,LOC_042,19.4,64.0,2.04,118.4,-1.79,0.97,0.0,239.5,2.9,Sample Data
2025-09-04,64.7204633753548,-97.11752872382229,LOC_043,-3.73,90.3,1.27,322.8,0.77,-1.01,0.0,103.9,1.8,Sample Data
2025-09-04,76.54095569322449,-118.61205972894659,LOC_044,-6.78,73.5,0.58,31.9,-0.31,-0.5,1.24,81.5,0.0,Sample Data
2025-09-04,18.96956844537263,-87.27817766101064,LOC_045,34.48,52.9,0.12,287.8,0.11,-0.04,0.0,313.1,3.3,Sample Data
2025-09-04,67.05887864626732,-107.03396431596549,LOC_046,-3.07,91.1,0.7,133.4,-0.51,0.48,0.0,69.0,2.2,Sample Data
2025-09-04,67.82253849659207,-115.8065724726292,LOC_047,8.46,69.5,0.11,90.9,-0.11,0.0,0.0,143.4,2.8,Sample Data
2025-09-04,49.20496220364956,-124.41966761338855,LOC_048,4.68,77.5,1.78,191.7,0.36,1.74,0.63,195.1,2.4,Sample Data
2025-09-04,11.90643450580714,-165.97411449087042,LOC_049,22.88,51.9,1.19,43.1,-0.81,-0.87,0.0,362.3,5.4,Sample Data
2025-09-04,12.357188926505069,-97.26664653570855,LOC_050,27.92,79.9,0.27,193.4,0.06,0.27,0.0,255.6,4.8,Sample Data
2025-09-04,33.576698580724496,-113.88581014858865,LOC_051,15.41,57.6,1.35,232.5,1.07,0.82,0.0,175.1,2.8,Sample Data
2025-09-04,78.06748554445697,-147.59201021064627,LOC_052,-8.15,79.2,0.62,102.6,-0.6,0.14,4.54,105.8,0.5,Sample Data
2025-09-04,40.77871922767223,-81.77835198940367,LOC_053,15.1,67.2,0.36,143.2,-0.21,0.29,0.0,239.8,3.3,Sample Data
2025-09-04,27.159862411871686,-169.99261172225692,LOC_054,16.94,58.5,3.31,334.6,1.42,-2.99,0.0,174.4,2.7,Sample Data
2025-09-04,31.731358968532604,-159.04123265697942,LOC_055,14.96,76.6,1.17,153.2,-0.53,1.05,0.0,226.1,2.5,Sample Data
2025-09-04,79.72732392569299,-74.9443506566258,LOC_056,-13.34,100.0,2.61,55.6,-2.15,-1.48,0.0,64.3,0.9,Sample Data
2025-09-04,57.50528173828176,-66.7101232755967,LOC_057,1.09,73.4,0.2,356.4,0.01,-0.2,3.32,219.9,1.6,Sample Data
2025-09-04,70.27540576743358,-155.74589234481533,LOC_058,1.65,100.0,1.91,148.3,-1.01,1.63,5.31,151.5,1.3,Sample Data
2025-09-04,76.94192488674834,-109.88550855096541,LOC_059,-3.9,80.8,2.56,303.1,2.15,-1.4,3.17,83.3,0.6,Sample Data
2025-09-04,70.55801163730469,-63.508131009945885,LOC_060,0.83,73.0,3.28,188.3,0.47,3.25,0.0,118.4,2.4,Sample Data
2025-09-04,33.85026062288979,-165.693249811402,LOC_061,15.97,86.7,1.42,166.6,-0.33,1.38,2.75,165.5,2.1,Sample Data
2025-09-04,27.095137190645627,-124.47598747858669,LOC_062,19.4,76.8,2.35,326.3,1.3,-1.96,0.0,184.1,3.4,Sample Data
2025-09-04,71.351107444187,-68.10502417667536,LOC_063,0.16,73.6,2.9,192.0,0.61,2.84,0.0,104.5,1.7,Sample Data
2025-09-04,10.521409789839304,-113.60285066491646,LOC_064,23.42,49.0,4.09,12.1,-0.85,-4.0,0.0,303.0,4.1,Sample Data
2025-09-04,41.30582523615843,-151.12598463880508,LOC_065,18.68,57.4,0.35,304.7,0.29,-0.2,1.01,204.3,2.9,Sample Data
2025-09-04,18.98990255002621,-136.11002771752837,LOC_066,28.43,43.4,3.82,230.8,2.96,2.41,0.0,188.9,2.6,Sample Data
2025-09-04,80.71822779343894,-137.98361883730183,LOC_067,-11.51,81.5,7.17,210.0,3.59,6.21,0.0,125.8,1.5,Sample Data
2025-09-04,48.90929663075246,-88.60753534362688,LOC_068,11.09,54.2,2.11,220.1,1.36,1.62,4.11,210.7,3.4,Sample Data
2025-09-04,37.27222017844705,-53.66832924627511,LOC_069,17.91,69.0,3.69,54.9,-3.02,-2.12,0.0,169.5,4.0,Sample Data
2025-09-04,82.18354712065835,-147.26830154270266,LOC_070,-6.03,86.3,7.79,162.3,-2.37,7.42,8.38,214.3,3.2,Sample Data
2025-09-04,47.29363794192891,-140.88581972381994,LOC_071,7.55,72.0,1.22,289.0,1.16,-0.4,0.81,252.6,0.8,Sample Data
2025-09-04,31.36303707831007,-175.20469684391074,LOC_072,17.31,75.6,1.28,265.5,1.27,0.1,0.0,236.8,1.5,Sample Data
2025-09-04,55.71732504849226,-114.651726980248,LOC_073,5.05,71.9,2.07,150.8,-1.01,1.81,0.0,238.0,1.1,Sample Data
2025-09-04,13.860906343749201,-143.77595964924052,LOC_074,22.13,70.1,9.74,53.5,-7.83,-5.79,0.0,404.9,5.1,Sample Data
2025-09-04,78.11994144749903,-148.8569542132936,LOC_075,-4.85,83.5,0.71,323.3,0.42,-0.57,0.42,101.5,0.7,Sample Data
2025-09-04,20.867115406841734,-116.3711411639168,LOC_076,20.14,65.5,4.48,163.2,-1.3,4.29,0.0,164.1,0.8,Sample Data
2025-09-04,83.92378405829506,-148.53281470350495,LOC_077,-13.71,94.0,0.6,310.2,0.46,-0.39,0.0,10.1,0.0,Sample Data
2025-09-04,60.41016605544089,-80.98945000726671,LOC_078,-1.62,100.0,0.08,56.2,-0.06,-0.04,0.0,163.8,2.1,Sample Data
2025-09-04,27.822815799429975,-85.33187468045826,LOC_079,16.71,55.7,3.34,7.1,-0.41,-3.32,3.22,281.7,2.5,Sample Data
2025-09-04,37.58373495394399,-97.80024202283467,LOC_080,13.6,65.7,0.84,260.0,0.82,0.14,0.0,217.8,3.9,Sample Data
2025-09-04,57.5147283070671,-110.3492910702814,LOC_081,-0.02,89.3,1.04,322.7,0.63,-0.83,0.18,194.4,1.2,Sample Data
2025-09-04,16.771732754080624,-71.41067557339906,LOC_082,30.38,52.9,5.1,123.1,-4.28,2.78,0.96,195.4,3.0,Sample Data
2025-09-04,34.05850487288019,-155.75259364801894,LOC_083,10.71,97.8,2.41,157.0,-0.94,2.22,5.93,216.8,3.1,Sample Data
2025-09-04,13.058135616607293,-103.18391738552856,LOC_084,27.42,74.6,6.75,287.9,6.42,-2.08,0.0,384.7,5.5,Sample Data
2025-09-04,60.81732713817118,-177.8435822393787,LOC_085,0.62,73.2,5.4,354.4,0.53,-5.38,0.0,139.9,1.0,Sample Data
2025-09-04,48.406979372446074,-150.55554922426808,LOC_086,10.92,56.6,0.96,199.5,0.32,0.91,0.0,183.3,2.8,Sample Data
2025-09-04,58.38795928070874,-157.33236422935113,LOC_087,13.05,93.1,3.28,63.1,-2.93,-1.48,0.0,83.1,0.0,Sample Data
2025-09-04,61.820330357684945,-129.72440498093013,LOC_088,0.11,80.3,0.55,265.7,0.54,0.04,1.85,132.8,0.3,Sample Data
2025-09-04,80.25474915525508,-162.12227726102088,LOC_089,-10.6,68.2,3.81,107.0,-3.64,1.11,0.0,198.9,2.2,Sample Data
2025-09-04,35.57997632876939,-165.2484422387234,LOC_090,16.83,69.2,0.73,11.2,-0.14,-0.71,1.81,240.3,2.3,Sample Data
2025-09-04,79.3520213708922,-65.94588406047247,LOC_091,-13.98,100.0,4.42,38.4,-2.74,-3.47,2.61,197.1,2.4,Sample Data
2025-09-04,29.34562207863667,-94.20207401555672,LOC_092,11.68,64.7,5.13,287.8,4.88,-1.57,0.0,284.9,2.0,Sample Data
2025-09-04,71.29166501509118,-107.8238944920699,LOC_093,-5.14,80.4,7.48,49.3,-5.67,-4.88,0.0,63.2,0.6,Sample Data
2025-09-04,49.723793376700485,-148.55920218294128,LOC_094,14.6,70.1,3.95,290.4,3.71,-1.38,0.0,244.5,3.5,Sample Data
2025-09-04,16.98270758544244,-63.361951466067524,LOC_095,25.3,34.8,0.75,355.6,0.06,-0.75,0.0,313.9,4.1,Sample Data
2025-09-04,77.53135428724978,-97.69681055447516,LOC_096,-2.39,78.7,10.63,339.9,3.65,-9.98,0.0,106.8,1.4,Sample Data
2025-09-04,35.42723432865255,-134.6027553003541,LOC_097,21.12,55.4,0.11,214.7,0.06,0.09,0.26,252.0,2.7,Sample Data
2025-09-04,64.44667591526795,-63.37566620616498,LOC_098,8.2,60.0,0.2,113.5,-0.19,0.08,0.0,121.6,2.6,Sample Data
2025-09-04,76.5314818198838,-78.6161790385089,LOC_099,0.21,84.1,2.87,83.9,-2.85,-0.31,4.08,144.9,1.9,Sample Data
2025-09-05,38.090508913552185,-56.4071401667109,LOC_000,20.96,53.0,1.54,172.8,-0.19,1.53,0.0,208.2,4.1,Sample Data
2025-09-05,64.89954563585539,-102.17439705438524,LOC_001,9.34,64.7,0.82,39.8,-0.52,-0.63,0.0,99.6,0.2,Sample Data
2025-09-05,21.70139803318274,-159.72071235629366,LOC_002,13.37,51.2,3.41,78.6,-3.35,-0.68,0.0,311.3,3.7,Sample Data
